display_name,course_id,last_modified,short_description
Mathematical Optimization for Business Problems,course-v1:IBMDeveloperSkillsNetwork+CP0101EN+v1,19/02/2021 07:00:15,This course provides the necessary fundamentals of mathematical programming
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+18W2018,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Controlling Hadoop Jobs Using Oozie,course-v1:BigDataUniversity+BD0133EN+2017,20/02/2021 21:15:03,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
"Robots Are Coming! Build IoT Apps with Watson, Swift, and Node-RED",course-v1:IBMDeveloperSkillsNetwork+ML0201EN+v1,19/02/2021 07:00:17,"Have fun with IoT and learn along the way. If you're a Swift developer and want to learn more about IoT and Watson AI services in the cloud, Raspberry Pi,  and Node-RED, you've found the right place. You'll build IoT apps to read temperature data, take pictures with a RaspCam, use AI to recognize the objects in those pictures, and program an iRobot Create 2 robot. "
Deep Learning with TensorFlow - Beta,course-v1:CognitiveClass+ML0121EN+v1,22/02/2021 14:13:38,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Erease me -Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122EN+03W2018,22/02/2021 22:52:42,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Deep Learning with TensorFlow,course-v1:BigDataUniversity+ML0120EN+2016,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Simplifying data pipelines with Apache Kafka,course-v1:BigDataUniversity+BD0123EN+2016,19/02/2021 06:41:47,"When you hear the terms, producer, consumer, topic category, broker, and cluster used together to describe a messaging system, something is brewing in the pipelines. Get connected and learn what that is, and what it means!"
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122EN+v1,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Introduction to Data Science,course-v1:BigDataUniversity+DS0101EN+2016,25/03/2021 18:12:44,"The art of uncovering the insights and trends in data has been around since ancient times. The ancient Egyptians used census data to increase efficiency in tax collection and they accurately predicted the flooding of the Nile river every year. Since then, people working in data science have carved out a unique and distinct field for the work they do, this field is data science. In this course, we will meet some data science practitioners and we will get an overview of what data science is today."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+15W2018,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Cloud Native Security Conference - Data Security,course-v1:IBMDeveloperSkillsNetwork+CNSC02EN+2020_T2,19/02/2021 10:28:17,
Data Science Bootcamp with R for University Proffesors,course-v1:CognitiveClass+DX0106EN+v1,24/02/2021 05:55:52,"A Multi-Day Intensive, In-Person Data Science Bootcamp offered by Big Data University"
Using R with Databases,course-v1:IBMDeveloperSkillsNetwork+RP0103EN+v3,19/02/2021 06:44:09,"The intent of this course is to teach you how to unlock the power and magic of R to analyze data in relational databases. It will show you how to connect to relational databases, access and query the database, update and modify the data, analyze it and perform simple visualizations."
Cloud Native Security Conference - App Security,course-v1:IBMDeveloperSkillsNetwork+CNSC01EN+2020_T2,19/02/2021 11:47:00,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Data Visualization with Python,course-v1:CognitiveClass+DV0101EN+v1,19/02/2021 06:44:57,"Data visualization is the graphical representation of data in order to interactively and efficiently convey insights to clients, customers, and stakeholders in general. It is a way to summarize your findings and display it in a form that facilitates interpretation and can help in identifying patterns or trends. In this Data Visualization with Python course, you'll learn how to create interesting graphics and charts and customize them to make them more effective and more pleasing to your audience."
Building Cloud Native and Multicloud Applications ,course-v1:IBMDeveloperSkillsNetwork+CC0150EN+v1,19/02/2021 06:42:04,"In this course, we will cover the core concepts and practices of building and running Cloud Native applications and how to run these applications in a multicloud environment. We will cover technologies and practices including; microservices, DevOps, CI/CD, Docker, Kubernetes, and OpenShift."
Cloud Native Security Conference - DevSecOps,course-v1:IBMDeveloperSkillsNetwork+CNSC03EN+2020_T2,19/02/2021 06:47:16,
IBM Blockchain Foundation Developer,course-v1:IBMDeveloperSkillsNetwork+BC0201EN+v2,19/02/2021 06:47:22,This course will teach you how to build Hyperledger Fabric applications and smart contracts using the IBM Blockchain Platform Visual Studio Code Extension.
Introduction to Open Source Software ,course-v1:IBM+OS0101EN+2021T2,31/03/2021 20:04:52,
"Introduction to Containers, Kubernetes, and OpenShift",course-v1:IBMDeveloperSkillsNetwork+CC0201EN+2020_T2,8/3/2021 20:11,"This course introduces the core concepts of Containers and Kubernetes and explains how containers differ from virtual machines. It also covers the importance of containers in cloud computing as well as the emerging ecosystem of related technologies such as Docker, Kubernetes, OpenShift, Istio and Knative."
IBM Cloud Essentials,course-v1:IBMDeveloperSkillsNetwork+CC0103EN+2020_T1,19/02/2021 06:42:05,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+19W2018,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+11W2018,20/02/2021 21:14:51,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+17W2018,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w25,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w49,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w39,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+10W2018,23/02/2021 04:34:04,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Data Science Bootcamp with Python for University Professors (Advance),course-v1:CognitiveClass+DX0108EN+v1,24/02/2021 05:55:17,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+21W2018,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:IBMDeveloperSkillsNetwork+ML0122ENv1+2019,19/02/2021 06:44:56,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+14W2018,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Data Privacy Fundamentals,course-v1:BigDataUniversity+DS0301EN+2016,19/02/2021 06:42:37,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w41,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
